Year,Units,Series,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,4.3
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,1.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,1.7
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,2.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,5.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,6.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,1.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,2.2
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,5.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,6.2
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,0.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,1.5
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,15 Jahre und älter,Männlich,,,,0.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,15 Jahre und älter,Männlich,,,,1.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,2.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,2.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,0.7
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,1.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,0.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,1.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,1.7
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,2.3
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,1.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,,,,,3.0
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,,,,,3.0
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,,,,,3.0
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,,,,,3.0
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,,,,,3.0
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,,,,,3.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,,,,,3.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,,,,,1.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,,,,,1.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,,,,,3.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,,,,,3.3
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,,,,,3.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,,,,,3.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,,,,,3.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,,,,,3.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Weiblich,,,,3.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Weiblich,,,,3.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Männlich,,,,2.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,,Männlich,,,,2.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Weiblich,,,,3.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Weiblich,,,,3.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Weiblich,,,,3.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Weiblich,,,,3.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Weiblich,,,,1.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Weiblich,,,,1.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Weiblich,,,,4.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Weiblich,,,,4.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Weiblich,,,,3.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Weiblich,,,,4.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Weiblich,,,,4.0
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Männlich,,,,2.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Männlich,,,,2.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Männlich,,,,2.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Männlich,,,,2.5
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Männlich,,,,2.4
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Männlich,,,,2.5
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Männlich,,,,1.0
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Männlich,,,,1.0
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Männlich,,,,2.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Männlich,,,,2.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Männlich,,,,2.5
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Männlich,,,,2.5
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Männlich,,,,2.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Männlich,,,,2.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Männlich,,,,3.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Männlich,,,,3.3
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,,,,,3.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,,,,,1.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,,,,,1.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,,,,,3.3
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,,,,,3.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,,,,,3.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,,,,,3.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,,,,,3.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,,,,,3.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,1.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,1.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,3.5
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,3.3
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,3.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,3.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,3.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,,,,,3.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,,,,,3.9
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Weiblich,,,,1.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Weiblich,,,,1.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,Weiblich,,,,4.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,Weiblich,,,,4.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,Weiblich,,,,3.9
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,Weiblich,,,,3.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,Weiblich,,,,4.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,Weiblich,,,,3.9
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,1.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,1.5
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,4.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,4.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,3.9
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,3.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,3.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,4.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,4.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Männlich,,,,2.4
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,Männlich,,,,2.5
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Männlich,,,,1.0
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,Männlich,,,,1.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,Männlich,,,,2.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,Männlich,,,,2.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,Männlich,,,,2.4
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,Männlich,,,,2.5
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,Männlich,,,,2.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,Männlich,,,,2.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,Männlich,,,,3.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,Männlich,,,,3.3
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,2.4
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,2.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,Männlich,,,,1.0
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,Männlich,,,,0.9
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,2.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,2.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,2.5
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,2.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,Männlich,,,,2.9
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,55 bis unter 65 Jahre,Männlich,,,,2.9
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,Männlich,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,65 Jahre und älter,Männlich,,,,3.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,,,,,,2.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,,,,,,2.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Städte,,,,,,2.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Städte,,,,,,2.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Ländliche Gebiete,,,,,,2.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Ländliche Gebiete,,,,,,2.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 Jahre und älter,,,,,2.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 Jahre und älter,,,,,2.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 bis unter 25 Jahre,,,,,1.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 bis unter 25 Jahre,,,,,1.3
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,25 bis unter 45 Jahre,,,,,2.5
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,25 bis unter 45 Jahre,,,,,2.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,45 bis unter 55 Jahre,,,,,2.9
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,45 bis unter 55 Jahre,,,,,2.8
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,55 bis unter 65 Jahre,,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,55 bis unter 65 Jahre,,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,65 Jahre und älter,,,,,3.7
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,65 Jahre und älter,,,,,3.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,,Weiblich,,,,3.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,,Weiblich,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,,Männlich,,,,2.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,,Männlich,,,,2.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Städte,,Weiblich,,,,3.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Städte,,Weiblich,,,,3.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Ländliche Gebiete,,Weiblich,,,,3.3
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Ländliche Gebiete,,Weiblich,,,,3.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 Jahre und älter,Weiblich,,,,3.4
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 Jahre und älter,Weiblich,,,,3.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 bis unter 25 Jahre,Weiblich,,,,1.5
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 bis unter 25 Jahre,Weiblich,,,,1.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,25 bis unter 45 Jahre,Weiblich,,,,3.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,25 bis unter 45 Jahre,Weiblich,,,,2.7
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,45 bis unter 55 Jahre,Weiblich,,,,3.6
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,45 bis unter 55 Jahre,Weiblich,,,,3.4
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,55 bis unter 65 Jahre,Weiblich,,,,3.8
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,55 bis unter 65 Jahre,Weiblich,,,,3.6
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,65 Jahre und älter,Weiblich,,,,4.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,65 Jahre und älter,Weiblich,,,,4.0
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Städte,,Männlich,,,,2.1
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Städte,,Männlich,,,,2.1
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Ländliche Gebiete,,Männlich,,,,2.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,Ländliche Gebiete,,Männlich,,,,2.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 Jahre und älter,Männlich,,,,2.2
2022,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 Jahre und älter,Männlich,,,,2.2
2013,Stunden pro Tag,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,Hausarbeit,,15 bis unter 25 Jahre,Männlich,,,,1.0
