Year,Units,Series,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,percentage,time spent on unpaid domestic and care work,,,15 years and older,male,,,,9.9
2022,percentage,time spent on unpaid domestic and care work,,,15 years and older,male,,,,10.5
2013,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,male,,,,4.1
2022,percentage,time spent on unpaid domestic and care work,,,15 to under 25 years,male,,,,4.3
2013,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,male,,,,9.5
2022,percentage,time spent on unpaid domestic and care work,,,25 to under 45 years,male,,,,10.1
2013,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,male,,,,10.2
2022,percentage,time spent on unpaid domestic and care work,,,45 to under 55 years,male,,,,10.4
2013,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,male,,,,10.9
2022,percentage,time spent on unpaid domestic and care work,,,55 to under 65 years,male,,,,10.9
2013,percentage,time spent on unpaid domestic and care work,,,65 years and older,male,,,,13.6
2022,percentage,time spent on unpaid domestic and care work,,,65 years and older,male,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,,,,,12.8
2022,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,,,,,13.1
2013,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,,,,,5.5
2022,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,,,,,5.9
2013,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,,,,,13.4
2022,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,,,,,13.9
2013,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,,,,,12.9
2022,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,,,,,12.9
2013,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,,,,,13.4
2022,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,,,,,13.0
2013,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,,,,,15.6
2022,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,,,,,15.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,,,,,13.0
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,,,,,13.4
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,,,,,5.4
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,,,,,5.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,,,,,14.5
2022,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,,,,,13.7
2013,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,,,,,13.2
2022,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,,,,,13.4
2013,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,,,,,13.6
2022,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,,,,,14.0
2013,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,,,,,15.4
2022,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,,,,,16.2
2013,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,female,,,,15.7
2022,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,female,,,,15.7
2013,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,female,,,,6.9
2022,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,female,,,,7.3
2013,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,female,,,,17.5
2022,percentage,time spent on unpaid domestic and care work,,urban,25 to under 45 years,female,,,,17.7
2013,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,female,,,,15.7
2022,percentage,time spent on unpaid domestic and care work,,urban,45 to under 55 years,female,,,,15.6
2013,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,female,,,,16.1
2022,percentage,time spent on unpaid domestic and care work,,urban,55 to under 65 years,female,,,,15.3
2013,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,female,,,,17.5
2022,percentage,time spent on unpaid domestic and care work,,urban,65 years and older,female,,,,16.4
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,female,,,,16.0
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 years and older,female,,,,15.9
2013,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,female,,,,6.5
2022,percentage,time spent on unpaid domestic and care work,,rural areas,15 to under 25 years,female,,,,6.2
2013,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,female,,,,19.3
2022,percentage,time spent on unpaid domestic and care work,,rural areas,25 to under 45 years,female,,,,17.5
2013,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,female,,,,16.1
2022,percentage,time spent on unpaid domestic and care work,,rural areas,45 to under 55 years,female,,,,15.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,female,,,,15.4
2022,percentage,time spent on unpaid domestic and care work,,rural areas,55 to under 65 years,female,,,,15.8
2013,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,female,,,,17.6
2022,percentage,time spent on unpaid domestic and care work,,rural areas,65 years and older,female,,,,17.4
2013,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,male,,,,9.9
2022,percentage,time spent on unpaid domestic and care work,,urban,15 years and older,male,,,,10.5
2013,percentage,time spent on unpaid domestic and care work,,urban,15 to under 25 years,male,,,,4.1
